,symptoms,symptom_ids,symptom_describe
808,변실금,SS000526,"자기도 모르는 사이에 대변이 나오거나, 변이 마렵다는 느낌은 드나 참지 못하며 옷에 실수를 하고, 기침을 하거나 방귀를 뀌어도 변이 나오는 것
"
809,의식 저하,SS000320,"자기 자신이나 사물에 대하여 인식하는 능력이 감소함
"
829,뇌전증 발작,SS000591,"뇌 신경세포의 과도한 흥분으로 인해 나타나는 뇌기능의 일시적 마비 증상
"
830,불임,SS000451,"피임을 하지 않은 부부가 정상적인 부부관계에도 불구하고 1년 이내에 임신이 되지않는 상태
"
831,빈맥,SS000874,"심장이 비정상으로 빨리 뛰는 것
"
833,"납작한 코, 축 쳐진 귀",SS000271,
835,호흡 곤란 ,SS001001,힘을 쓰지 않으면 숨쉬기가 어렵거나 숨쉬는데 고통을 느끼는 상태
836,부종,SS001002,몸이 붓는 현상
837,식욕 부진,SS001003,식욕이 떨어지거나 식욕이 없는 현상으로서 정상적으로 먹던 양보다 적게 먹거나 전혀 먹지 못하는 것
838,발육 부전,SS001004,떠한 이유로 발육(성장)이 더디어지는 바람에 제대로 성장하지 못한 경우를 이르는 것
839,홍반,SS001005,피부가 붉게 변하여 홍색을 띠는 것
840,체중 감소,SS001006,체중이 감소함
841,식은땀,SS001007,"질병, 긴장 등으로 인해 차가운 땀을 흘리는 증세"
842,어지럼증,SS001008,실제 정지해 있음에도 불구하고 빙글빙글 도는 듯한 느낌
843,가려움증,SS001009,가려움
844,스트레스,SS001010,스트레스 받음
765,열,SS000684,"정상 체온 범위를 벗어나 비정상적으로 높은 체온
"
